player_id,player_name,bowling_style,innings_bowled,total_overs,total_balls,total_runs,economy,wickets
1945.0,Hashan Tillakaratne,right-arm offbreak,2,29.2,180.0,141.0,4.828767123287672,129.0
61861.0,Hashmatullah Shahidi,right-arm offbreak,1,3.0,18.0,25.0,8.333333333333334,65.0
2205.0,Hasibul Hossain,right-arm fast-medium,2,228.7,1375.0,1338.0,5.85045911674683,20.0
53785.0,Hasti Gul,right-arm medium,2,19.0,114.0,73.0,3.842105263157895,0.0
61941.0,Hayden Walsh,legbreak googly,2,171.7,1033.0,932.0,5.428072218986605,10.0
113981.0,Hazrat Bilal,right-arm medium-fast,2,45.0,270.0,212.0,4.711111111111111,1.0
2156.0,Heath Davis,right-arm fast,2,71.2,432.0,436.0,6.123595505617978,2.0
2108.0,Heath Streak,right-arm fast-medium,2,1575.2,9468.0,7129.0,4.525774504824784,104.0
1337.0,Hedley Howarth,slow left-arm orthodox,2,77.0,492.0,280.0,3.636363636363636,3.0
61634.0,Heinrich Klaasen,right-arm offbreak,2,5.0,30.0,33.0,6.6,43.0
7577.0,Hemang Badani,slow left-arm orthodox,2,30.3,183.0,149.0,4.917491749174918,26.0
108567.0,Hemant Dhami,right-arm medium-fast,1,8.0,48.0,49.0,6.125,0.0
7415.0,Hemantha Boteju,right-arm medium,2,17.0,102.0,113.0,6.647058823529412,1.0
8286.0,Hendy Bryan,right-arm fast-medium,2,120.2,722.0,518.0,4.309484193011647,6.0
6368.0,Henk-Jan Mol,left-arm medium,2,30.2,182.0,149.0,4.933774834437086,8.0
2181.0,Henry Olonga,right-arm fast,2,342.7,2059.0,1977.0,5.768894076451708,13.0
48590.0,Henry Osinde,right-arm medium-fast,2,280.8,1692.0,1389.0,4.946581196581197,15.0
89795.0,Henry Shipley,right-arm medium-fast,2,64.3,387.0,359.0,5.583203732503888,5.0
4151.0,Henry Williams,right-arm fast-medium,2,54.5,329.0,228.0,4.18348623853211,1.0
60142.0,Hiral Patel,slow left-arm orthodox,2,68.1,409.0,353.0,5.183553597650515,22.0
49761.0,Hiren Varaiya,slow left-arm orthodox,2,490.7,2951.0,2048.0,4.173629508864887,21.0
71461.0,Hiri Hiri,right-arm offbreak,2,17.0,102.0,113.0,6.647058823529412,30.0
2267.0,Hitesh Modi,right-arm offbreak,1,3.1,19.0,27.0,8.709677419354838,47.0
47708.0,Howard Johnson,right-arm medium-fast,2,10.0,60.0,69.0,6.9,1.0
7061.0,Hrishikesh Kanitkar,right-arm offbreak,2,167.4,1006.0,803.0,4.79689366786141,19.0
70856.0,Hussain Talat,right-arm medium-fast,1,2.0,12.0,16.0,8.0,1.0
2184.0,Iain Butchart,right-arm medium,2,117.0,702.0,640.0,5.47008547008547,14.0
35652.0,Iain O'Brien,right-arm fast-medium,2,75.3,453.0,488.0,6.480743691899071,0.0
64991.0,Iain Wardlaw,right-arm fast-medium,2,183.6,1108.0,1036.0,5.642701525054466,6.0
4204.0,Ian Austin,right-arm medium,2,78.7,475.0,360.0,4.5743329097839895,5.0
7822.0,Ian Bell,right-arm medium,2,14.4,88.0,88.0,6.111111111111111,143.0
1924.0,Ian Bishop,right-arm fast,2,720.0,4332.0,3127.0,4.343055555555556,25.0
7043.0,Ian Blackwell,slow left-arm orthodox,2,205.0,1230.0,877.0,4.278048780487805,27.0
1529.0,Ian Botham,right-arm fast-medium,2,1031.1,6271.0,4139.0,4.014159635340898,91.0
10451.0,Ian Bradshaw,left-arm fast-medium,2,528.4,3172.0,2299.0,4.350870552611658,23.0
10380.0,Ian Butler,right-arm fast,2,184.5,1109.0,1038.0,5.626016260162602,8.0
1545.0,Ian Callen,right-arm fast-medium,1,30.0,180.0,148.0,4.933333333333334,1.0
1243.0,Ian Chappell,legbreak,1,7.0,42.0,23.0,3.2857142857142856,14.0
5657.0,Ian Harvey,right-arm medium,2,544.3,3279.0,2577.0,4.7345214036377,40.0
55324.0,Ian Holland,right-arm medium,2,104.0,628.0,466.0,4.480769230769231,14.0
48164.0,Ian Nicolson,right-arm fast-medium,1,12.0,72.0,118.0,9.833333333333334,2.0
