matches_bat,innings_batted,runs,balls,fours,sixes,bat_avg,strike_rate,player_name
56,56,2028,3029,219,6,36.21428571,66.95278969957081,Yasir Hameed
3,3,3,6,0,0,1.0,50.0,Yasir Mohammad
25,25,127,149,9,1,5.08,85.23489932885906,Yasir Shah
6,6,1,12,0,0,0.166666667,8.333333333333332,Yograj Singh
3,3,69,104,8,0,23.0,66.34615384615384,Yohan Goonasekera
2,2,84,151,6,0,42.0,55.62913907284768,Younis Ahmed
265,265,7249,9628,578,56,27.35471698,75.2908184461986,Younis Khan
2,2,1,7,0,0,0.5,14.285714285714285,Yunus Badat
56,56,810,713,62,43,14.46428571,113.60448807854138,Yusuf Pathan
301,301,8701,9924,908,155,28.90697674,87.6763401854091,Yuvraj Singh
72,72,77,141,8,0,1.069444444,54.60992907801418,Yuzvendra Chahal
1,1,15,15,0,1,15.0,100.0,Zafar Gohar
8,8,48,62,2,1,6.0,77.41935483870968,Zafar Iqbal
61,61,2572,3033,213,22,42.16393443,84.80052753049786,Zaheer Abbas
198,198,792,1078,69,24,4.0,73.46938775510205,Zaheer Khan
2,2,13,46,2,0,6.5,28.26086956521739,Zaheer Maqsood
2,2,3,13,0,0,1.5,23.076923076923077,Zahid Ahmed
19,19,348,584,21,3,18.31578947,59.589041095890416,Zahid Fazal
2,2,9,31,1,0,4.5,29.03225806451613,Zahid Hussain
4,4,9,10,0,1,2.25,90.0,Zahid Mahmood
3,3,14,44,0,0,4.666666667,31.818181818181817,Zahid Razzak
2,2,11,20,2,0,5.5,55.00000000000001,Zahid Shah
1,1,0,0,0,0,0.0,0.0,Zahir Khan
14,14,297,507,25,6,21.21428571,58.57988165680473,Zahoor Elahi
62,62,152,269,11,4,2.451612903,56.50557620817844,Zahoor Khan
1,1,26,54,2,0,26.0,48.148148148148145,Zain Abbas
8,8,199,205,23,2,24.875,97.07317073170731,Zak Crawley
2,2,1,5,0,0,0.5,20.0,Zakir Hasan
1,1,0,1,0,0,0.0,0.0,Zakir Hossain
17,17,27,63,0,0,1.588235294,42.857142857142854,Zakir Khan
1,1,3,22,0,0,3.0,13.636363636363635,Zakiullah Zaki
1,1,0,0,0,0,0.0,0.0,Zaman Khan
1,1,3,13,0,0,3.0,23.076923076923077,Zameer Zahir
37,37,711,862,69,11,19.21621622,82.48259860788863,Zane Green
10,10,132,139,15,4,13.2,94.96402877697841,Zawar Farid
41,41,1127,1611,90,22,27.48780488,69.95654872749844,Zeeshan Maqsood
2,2,50,111,3,1,25.0,45.04504504504504,Zeeshan Siddiqi
4,4,4,19,0,0,1.0,21.052631578947366,Zhivago Groenewald
1,1,5,30,1,0,5.0,16.666666666666664,Zia-ur-Rehman
12,12,124,110,13,6,10.33333333,112.72727272727272,Ziaur Rahman
1,1,56,79,5,1,56.0,70.88607594936708,Zubayr Hamza
23,23,328,656,31,0,14.26086957,50.0,Zubin Surkari
3,3,39,76,4,0,13.0,51.31578947368421,Zulfiqar Ali
5,5,35,40,2,1,7.0,87.5,Zulfiqar Babar
16,16,18,30,0,1,1.125,60.0,Zulqarnain
4,4,48,68,3,0,12.0,70.58823529411765,Zulqarnain Haider
54,54,1196,1753,118,7,22.14814815,68.22589845978322,Zunaed Siddique
