matches_bat,innings_batted,runs,balls,fours,sixes,bat_avg,strike_rate,matches_bowl,innings_bowled,wickets,runs_conceded,overs,player_name
5,5,49.0,60.0,5.0,3.0,9.8,81.66666666666667,,,,,,Calvert Hooper
40,40,62.0,125.0,3.0,1.0,1.55,49.6,,,,,,Cameron Cuffy
26,26,552.0,675.0,45.0,12.0,21.23076923076923,81.77777777777779,,,,,,Cameron Green
2,2,35.0,72.0,4.0,0.0,17.5,48.61111111111111,,,,,,Cameron McAuslan
18,18,141.0,211.0,12.0,1.0,7.833333333333333,66.82464454976304,,,,,,Cameron Stevenson
90,90,2072.0,2586.0,145.0,45.0,23.022222222222222,80.12374323279195,,,,,,Cameron White
3,3,9.0,8.0,0.0,1.0,3.0,112.5,,,,,,Carl Bulfin
226,226,5761.0,7517.0,409.0,65.0,25.491150442477878,76.63961686843156,,,,,,Carl Hooper
7,7,32.0,55.0,1.0,1.0,4.571428571428571,58.18181818181818,,,,,,Carl Mumba
51,51,34.0,77.0,0.0,0.0,0.6666666666666666,44.15584415584416,,,,,,Carl Rackemann
1,1,0.0,0.0,0.0,0.0,0.0,,,,,,,Carl Tuckett
24,24,473.0,690.0,39.0,4.0,19.708333333333332,68.55072463768116,,,,,,Carlisle Best
42,42,559.0,614.0,38.0,24.0,13.30952380952381,91.04234527687296,,,,,,Carlos Brathwaite
47,47,482.0,719.0,37.0,7.0,10.25531914893617,67.0375521557719,,,,,,Carlton Baugh
2,2,10.0,41.0,0.0,0.0,5.0,24.390243902439025,,,,,,Cecil Marshall
9,9,154.0,132.0,18.0,9.0,17.11111111111111,116.66666666666667,,,,,,Cephas Zhuwao
6,6,99.0,119.0,15.0,0.0,16.5,83.19327731092437,,,,,,Chad Bowes
56,56,751.0,1315.0,35.0,8.0,13.410714285714286,57.11026615969582,,,,,,Chad Soper
9,9,53.0,86.0,7.0,0.0,5.888888888888889,61.627906976744185,,,,,,Chadwick Walton
1,1,1.0,1.0,0.0,0.0,1.0,100.0,,,,,,Chamara Dunusinghe
97,97,1624.0,2254.0,117.0,28.0,16.742268041237114,72.04968944099379,,,,,,Chamara Kapugedera
74,74,1587.0,2254.0,139.0,10.0,21.445945945945947,70.40816326530613,,,,,,Chamara Silva
1,1,0.0,0.0,0.0,0.0,0.0,,,,,,,Chamika Gunasekara
26,26,451.0,575.0,32.0,8.0,17.346153846153847,78.43478260869566,,,,,,Chamika Karunaratne
7,7,7.0,12.0,0.0,0.0,1.0,58.333333333333336,,,,,,Chamila Gamage
1,1,1.0,3.0,0.0,0.0,1.0,33.33333333333333,,,,,,Chaminda Bandara
1,1,3.0,2.0,0.0,0.0,3.0,150.0,,,,,,Chaminda Mendis
316,316,2025.0,2796.0,127.0,22.0,6.408227848101266,72.42489270386267,,,,,,Chaminda Vaas
60,60,210.0,374.0,13.0,1.0,3.5,56.14973262032086,,,,,,Champaka Ramanayake
109,109,2474.0,3913.0,238.0,14.0,22.69724770642202,63.22514694607718,,,,,,Chamu Chibhabha
10,10,4.0,9.0,0.0,0.0,0.4,44.44444444444444,,,,,,Chanaka Welegedara
34,34,669.0,1318.0,59.0,0.0,19.676470588235293,50.758725341426405,,,,,,Chandika Hathurusinghe
36,36,290.0,400.0,16.0,0.0,8.055555555555555,72.5,,,,,,Chandrakant Pandit
6,6,82.0,98.0,13.0,2.0,13.666666666666666,83.6734693877551,,,,,,Chandrapaul Hemraj
59,59,1918.0,2136.0,150.0,43.0,32.50847457627118,89.7940074906367,,,,,,Charith Asalanka
7,7,126.0,211.0,7.0,0.0,18.0,59.71563981042654,,,,,,Charith Senanayake
17,17,29.0,59.0,0.0,0.0,1.7058823529411764,49.152542372881356,,,,,,Charitha Buddhika
68,68,72.0,119.0,8.0,0.0,1.0588235294117647,60.50420168067227,,,,,,Charl Langeveldt
