Match ID,Match Date,Series Name,team1 name,team1 runs_scored,team1 wickets_lost,Match Winner,Match Venue (Stadium),Match Venue (City),Match Venue (Country),team2 name, Team2 runs_scored,Team2 wickets_lost
65622,2002-01-26,"VB Series Australia, New Zealand, South Africa in Australia - 2002 (2001/02)",New Zealand,242.0,5.0,New Zealand,Adelaide Oval,Adelaide,Australia,,,
65623,2002-01-27,"VB Series Australia, New Zealand, South Africa in Australia - 2002 (2001/02)",South Africa,253.0,5.0,South Africa,Adelaide Oval,Adelaide,Australia,,,
64742,2002-01-28,England tour of India  - 2001 (2001/02),England,218.0,7.0,India,Green Park,Kanpur,India,,,
65624,2002-01-29,"VB Series Australia, New Zealand, South Africa in Australia - 2002 (2001/02)",New Zealand,245.0,8.0,Australia,Melbourne Cricket Ground,Melbourne,Australia,,,
64743,2002-01-31,England tour of India  - 2001 (2001/02),England,271.0,5.0,England,Feroz Shah Kotla,Delhi,India,,,
65625,2002-02-01,"VB Series Australia, New Zealand, South Africa in Australia - 2002 (2001/02)",South Africa,270.0,5.0,South Africa,Western Australia Cricket Association Ground,Perth,Australia,,,
65626,2002-02-03,"VB Series Australia, New Zealand, South Africa in Australia - 2002 (2001/02)",Australia,283.0,7.0,Australia,Western Australia Cricket Association Ground,Perth,Australia,,,
64744,2002-02-03,England tour of India  - 2001 (2001/02),England,255.0,10.0,England,Wankhede Stadium,Mumbai,India,,,
65627,2002-02-06,"VB Series Australia, New Zealand, South Africa in Australia - 2002 (2001/02)",New Zealand,190.0,10.0,South Africa,Melbourne Cricket Ground,Melbourne,Australia,,,
65628,2002-02-08,"VB Series Australia, New Zealand, South Africa in Australia - 2002 (2001/02)",New Zealand,175.0,10.0,South Africa,Sydney Cricket Ground,Sydney,Australia,,,
64745,2002-02-13,England tour of New Zealand  - 2002 (2001/02),England,196.0,10.0,New Zealand,Jade Stadium,Christchurch,New Zealand,,,
64746,2002-02-14,Pakistan tour of United Arab Emirates  - 2001 (2001/02),West Indies,190.0,10.0,Pakistan,Sharjah Cricket Association Stadium,Sharjah,United Arab Emirates,,,
64747,2002-02-15,Pakistan tour of United Arab Emirates  - 2001 (2001/02),Pakistan,232.0,10.0,Pakistan,Sharjah Cricket Association Stadium,Sharjah,United Arab Emirates,,,
64748,2002-02-16,England tour of New Zealand  - 2002 (2001/02),New Zealand,244.0,8.0,New Zealand,WestpacTrust Stadium,Wellington,New Zealand,,,
64749,2002-02-17,Pakistan tour of United Arab Emirates  - 2001 (2001/02),West Indies,260.0,5.0,West Indies,Sharjah Cricket Association Stadium,Sharjah,United Arab Emirates,,,
64750,2002-02-20,England tour of New Zealand  - 2002 (2001/02),England,244.0,5.0,England,McLean Park,Napier,New Zealand,,,
64751,2002-02-23,England tour of New Zealand  - 2002 (2001/02),England,193.0,6.0,England,Eden Park,Auckland,New Zealand,,,
64752,2002-02-26,England tour of New Zealand  - 2002 (2001/02),England,218.0,8.0,New Zealand,Carisbrook,Dunedin,New Zealand,,,
64753,2002-03-07,Zimbabwe tour of India  - 2002 (2001/02),India,274.0,6.0,Zimbabwe,Nahar Singh Stadium,Faridabad,India,,,
64754,2002-03-10,Zimbabwe tour of India  - 2002 (2001/02),India,319.0,6.0,India,Punjab Cricket Association Stadium,Chandigarh,India,,,
